search_name,search_query,title,published,link,past_days,published_dt_utc
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Vogue First! The New Armani Beauty Luminous Silk Foundation Is Here - Vogue,"Sun, 21 Dec 2025 11:00:00 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxQcGxvYVdEWXpHRVlsS3doVjhHaTNpNWtYMGtSbHNPTE9oeHA0T2lhU2dabDhMbDVwa2wyU0FtcjFHUExCcFlTdUo4SEU4RVg3UzNETk56a2NWcUhrazhxbklRVzNweXptYXdsQVp6QklBTTZfSkprUU1pYVNWOENRWUloOA?oc=5,1,2025-12-21 11:00:00+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Art and Architecture in Flux: Fondation Cartier’s New Home - Prestige Hong Kong,"Mon, 22 Dec 2025 01:19:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxOWVRrU0FYbVhYbnJFTDVLZU9vV1AxS25PZTRIREZ6WWJnc09XQWVsQWktdXFiVnFYM2RDWXMxZFQ4b2czX0hrZ3QyMVdqdUgzMGxFNjRpNzk2T0c5UmZGa3NEX0k0VlFxRWgyZEtITFR1ekU4a2R0ZXJKczJ4MnYxYVpGc3VFQ2dpNDRpa3RvZWVjOURhSFZlVUJvLWJJZFN4cHllVUpyMEU3bFVSbVlIaFE4dnVrczYtd2tPOEpR0gHDAUFVX3lxTE9KcUw0R3ZSams5MWZHZ1VSMDVJTVVaRkI5Nl9sZkN3akNhRnFJWUt6RFVuRzZTSlRVMmJOT3ZHcFlZZTZsd1BBVEc3ZktwMUxfd3Y5dmhyY3BKTWtmZXFJVXZ5MkZZS3lsUmhobW53T01qZE5DcGxsZDNjNl9ILUFwRHdEQngzSTlmTUMxa1dlTklBa19PbHV5d1JUcDZ1QmdMdUZERndGTlFud2FvYllLbUhXNy1CQTEya2NmMUlfR000QQ?oc=5,1,2025-12-22 01:19:00+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",AI in fashion: How Playar uses XR and AI for immersive experiences and storyliving - fashionunited.uk,"Mon, 22 Dec 2025 05:02:21 GMT",https://news.google.com/rss/articles/CBMizwFBVV95cUxORXJJaEJwRzNOYVFsQXM2UHI4OWlUdkNoRnJ3TXR2bG1nQndYYTB5LUpvVmZydGlJVHZJVzIxZlVFMElvRFBQTVIwb0xtOTRkNHJyeHlKU0w5WENvQUZaNTlyOHJyOVJ2VUlmNzlfZU5xWl9vTnYxbzhNSzUyX01xRHJndFduYkJUNnRUbU9EMlpXVEFVWVZiVlpRUkNzUjR2cV9xdlNLbW1JSlFUWUFHMXRyV3hxQ2lUdTItWXp4aktVR1ZOdmVfWHFMa1J2OTg?oc=5,1,2025-12-22 05:02:21+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Two Spirit Airlines staff face charges over theft of passenger’s $500 Louis Vuitton bag - The Independent,"Sun, 21 Dec 2025 16:30:00 GMT",https://news.google.com/rss/articles/CBMiqAFBVV95cUxPdVQ2Qk81LUlzSWRZNW51azhxSjNNTW5tZlBxOFg0N1lXVlZ5UmUzSGlGcDdwMXZfOEhDMUFpYmdGZ1V6clFuaVhkdXIyWDhXWjFhWFhOTS1WQnQ5Nmh0Ry1qTVJ5WlJmX3ZKSF9rSW1TOVJ4SjNsalhZdEhQb3h4MlVyek80dzFvS0NocXpEQXhuY01JaVkyNExlYWVpMU1nZ1hLNTVqUHY?oc=5,1,2025-12-21 16:30:00+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Think It's Too Late to Buy Ralph Lauren Stock? Here's the 1 Reason Why There's Still Time. - The Motley Fool,"Mon, 22 Dec 2025 04:47:00 GMT",https://news.google.com/rss/articles/CBMimAFBVV95cUxObEk4SmIyTVRLN1hNT3dBVXVISXBwT3NpQlJIUUoxU1JWaHRYZnBYaHVJMHUzYUlvbWhtSEZfUjZ3eU9RLWxBczRHYTJ3SkFlRFo4S19DMFNRRFpOVTRXUXZLQzZnZXgwamxPWnZTcVNSWE5zT3V0b18tR1E4NXhaQzlEcVg5dzQ4UE9KZ0lJZG9sdmxqMWRJSg?oc=5,1,2025-12-22 04:47:00+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Woman Finds Rs 1.4 Lakh Louis Vuitton Bag While Picking Garbage In Affluent Neighbourhood - NDTV,"Mon, 22 Dec 2025 04:19:07 GMT",https://news.google.com/rss/articles/CBMisgFBVV95cUxNVFo1N2QwcGJkb0Z2eVFxakgzTXdBaTZ4cVlBVVJNQllDNDQtS0Q0RmswakN0WUVTaGJiTG5BNG43OE5PRmItMUdjSnMxeWtYcGJDNnhiYmJYb1pmZnJKT01JUU1qRFE3WXQ5NGxaQ0RMQVpoT0NKaGxOSUZPbkJFTGc5d3UyaXdlRTRKcG9ncXUtYzgyaHhOYVlUY0IwTWpGd05aZWhoZjBjMkNlcUtJZzl30gG6AUFVX3lxTFBUYUZvTjhzZFdtb2liUTg4aFU3azdrXzFRSl9vSW9vSWJfY2UtZG43M3Rhc3J6YnU4LTBrMGFrM3poWEdVVEZIZFl3Yi1VSVBEMk9pTHVDemJyQUp6Z01JdTVfTUJrWmFzZVRtSVd3ZDVMOWJBVHdhNHNmQ1BBTzNHZXNyejZrWnVaTkhjWGNRWUVyZGx6TGo5YTJrSy1Uc0NNaXlUTFVDWlVxai1pYmpnTElXMS1jZkxXZw?oc=5,1,2025-12-22 04:19:07+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Louis Vuitton’s ship to nowhere marks the new age of luxury - MSN,"Sun, 21 Dec 2025 14:45:23 GMT",https://news.google.com/rss/articles/CBMiY0FVX3lxTE84WU9xQlZMOGJBSUFkX1Vod1d2VDJHckFkc0pkcFZNNUdidXN3OERod0xLcXBreUpIRERLQXRrVzgwcl9wbXBLVzJXYlJPWk15ZnlTVlRtNnJqME15RWxaN0tqcw?oc=5,1,2025-12-21 14:45:23+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Amazon’s $25 Calvin Klein Ruched Hoodie Is ‘Really Cute’ and ‘Fits Beautifully’ - Parade,"Sun, 21 Dec 2025 20:30:00 GMT",https://news.google.com/rss/articles/CBMihAFBVV95cUxQUFgzUG42NDA0d0J6cmI3QXJwaHgwTmVPQXBtdFhHWEE3cERBQ1lHdk51ZU9iNUlNUGY5b1pRREZKbnpocmNtVXV6dkQySWVwUGpTbmJpOVdTNms5ZHktZ0k3UDZjRFRsaFFMRGFNX1VNSmlkcDBfa3hnTEhyNTZfUkhOd0E?oc=5,1,2025-12-21 20:30:00+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Valentino Rossi confirmed in all-star Bathurst line-up - Supercars,"Mon, 22 Dec 2025 00:37:35 GMT",https://news.google.com/rss/articles/CBMisgFBVV95cUxOcXlueU1lQzhUZFZ3RVlxZzRBc0FfSVI1X0NNaTIxN19SekM4ODJKMTZNbkx4WG8wWjdWT004OHQxZXJkM05PVXk3WHAwRU5QTDFJaDBVcVItcWtyQzl5ZDRHcXVJVjlyMlBTZlEyMUFJRUhIMmpUeUI4eU01TzRRamFKSmVIM3NjczZKNnVFczA3QVNMUGZqbkk0V3hoUmdoOXI3eVJBV0MzbUtNXzVTaEhB?oc=5,1,2025-12-22 00:37:35+00:00
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")","Woman tried to walk off with $880 Gucci shoes at N.J. mall, cops say - NJ.com","Sun, 21 Dec 2025 22:00:00 GMT",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNbktYbWVmUVMwVlVwUnRtaFFaWm85dXZZZmFBeGIzMENlandoQU9PZ3NrdXd3REx1eEZJWHlsSm53WE5JMHYwQmlqU0RiS0xHRXdIS0l6ZUdodFY4LXN3NHdfbzJTa1NVUnBRWmZwalhWeFIyZzY5TUpsYUI5MXNrTTYwOHNDS2FfcUZkQVUzakM0SmFKakczQ1ZhWm9HTGl2dGUxYWFfTERiR1HSAb8BQVVfeXFMTm5MZUpEX2hrSkV4OV85blN3cVlrREpWZHdxZmF6OExuZHg2aTRmZVU3ZU5sR2l1QUMtUWl3bFNHMVpNYVFHUS1fY0IxRXp2NWI2N3hYZkdsWE5UNi1XeWlwTW85S2JBY3IwUE9iSXhpNW5tRy1ETE91Vjd4NnZoQjVLRWxxNy1nZ05KREFKaU9JemlBckk1NlJOY0k4c3ZVaVEwYm80UmhmRklDcVc5b21jT0dMOVZlWDNVb01rSEE?oc=5,1,2025-12-21 22:00:00+00:00
